[INFO: 2024-11-24 13:17:17,410] Epoch 1/10, Step 1/15, Loss 0.6446885466575623, Acc 0.75, PN 0.25, AP 0.3076048951048951
[INFO: 2024-11-24 13:17:17,855] Epoch 1/10, Step 2/15, Loss 0.6969967484474182, Acc 0.5625, PN 0.3125, AP 0.3012987012987013
[INFO: 2024-11-24 13:17:18,292] Epoch 1/10, Step 3/15, Loss 0.5897963047027588, Acc 0.875, PN 0.125, AP 0.10238095238095238
[INFO: 2024-11-24 13:17:18,729] Epoch 1/10, Step 4/15, Loss 0.595551073551178, Acc 0.75, PN 0.25, AP 0.22288267288267288
[INFO: 2024-11-24 13:17:19,165] Epoch 1/10, Step 5/15, Loss 0.3920535743236542, Acc 0.875, PN 0.125, AP 0.75
[INFO: 2024-11-24 13:17:19,600] Epoch 1/10, Step 6/15, Loss 0.4860469102859497, Acc 0.8125, PN 0.1875, AP 0.2409090909090909
[INFO: 2024-11-24 13:17:20,036] Epoch 1/10, Step 7/15, Loss 0.4000507891178131, Acc 0.875, PN 0.125, AP 0.14583333333333331
[INFO: 2024-11-24 13:17:20,475] Epoch 1/10, Step 8/15, Loss 0.3937686085700989, Acc 0.875, PN 0.125, AP 0.17142857142857143
[INFO: 2024-11-24 13:17:20,911] Epoch 1/10, Step 9/15, Loss 0.2444143146276474, Acc 0.9375, PN 0.0625, AP 0.07692307692307693
[INFO: 2024-11-24 13:17:21,348] Epoch 1/10, Step 10/15, Loss 0.5598512887954712, Acc 0.8125, PN 0.1875, AP 0.20419580419580421
[INFO: 2024-11-24 13:17:21,785] Epoch 1/10, Step 11/15, Loss 0.37917256355285645, Acc 0.875, PN 0.125, AP 0.20192307692307693
[INFO: 2024-11-24 13:17:22,223] Epoch 1/10, Step 12/15, Loss 0.35677146911621094, Acc 0.875, PN 0.125, AP 0.625
[INFO: 2024-11-24 13:17:22,662] Epoch 1/10, Step 13/15, Loss 0.3627910912036896, Acc 0.875, PN 0.125, AP 0.6
[INFO: 2024-11-24 13:17:23,097] Epoch 1/10, Step 14/15, Loss 0.3602355718612671, Acc 0.875, PN 0.125, AP 0.325
[INFO: 2024-11-24 13:17:23,535] Epoch 1/10, Step 15/15, Loss 0.38314688205718994, Acc 0.875, PN 0.125, AP 0.25
[INFO: 2024-11-24 13:17:23,805] *******Epoch 1, Val loss: 0.4421, Val Acc: 0.8197, Val AP: 0.3516
[INFO: 2024-11-24 13:17:25,765] Epoch 2/10, Step 1/15, Loss 0.2215391993522644, Acc 0.9375, PN 0.0625, AP 1.0
[INFO: 2024-11-24 13:17:26,203] Epoch 2/10, Step 2/15, Loss 0.39546096324920654, Acc 0.875, PN 0.125, AP 0.17142857142857143
[INFO: 2024-11-24 13:17:26,641] Epoch 2/10, Step 3/15, Loss 0.8768681287765503, Acc 0.6875, PN 0.3125, AP 0.3447186147186147
[INFO: 2024-11-24 13:17:27,082] Epoch 2/10, Step 4/15, Loss 0.36834293603897095, Acc 0.875, PN 0.125, AP 0.20833333333333331
[INFO: 2024-11-24 13:17:27,521] Epoch 2/10, Step 5/15, Loss 0.6690850853919983, Acc 0.6875, PN 0.3125, AP 0.5476190476190477
[INFO: 2024-11-24 13:17:27,960] Epoch 2/10, Step 6/15, Loss 0.5454040765762329, Acc 0.75, PN 0.25, AP 0.575
[INFO: 2024-11-24 13:17:28,399] Epoch 2/10, Step 7/15, Loss 0.45577770471572876, Acc 0.875, PN 0.125, AP 0.3333333333333333
[INFO: 2024-11-24 13:17:28,836] Epoch 2/10, Step 8/15, Loss 0.5551918745040894, Acc 0.75, PN 0.25, AP 0.6840659340659341
[INFO: 2024-11-24 13:17:29,283] Epoch 2/10, Step 9/15, Loss 0.33628344535827637, Acc 1.0, PN 0.0, AP -0.0
[INFO: 2024-11-24 13:17:29,722] Epoch 2/10, Step 10/15, Loss 0.4812414348125458, Acc 0.8125, PN 0.1875, AP 0.28968253968253965
[INFO: 2024-11-24 13:17:30,160] Epoch 2/10, Step 11/15, Loss 0.26640838384628296, Acc 0.9375, PN 0.0625, AP 0.25
[INFO: 2024-11-24 13:17:30,598] Epoch 2/10, Step 12/15, Loss 0.5297347903251648, Acc 0.8125, PN 0.1875, AP 0.18282828282828284
[INFO: 2024-11-24 13:17:31,035] Epoch 2/10, Step 13/15, Loss 0.23049286007881165, Acc 0.9375, PN 0.0625, AP 1.0
[INFO: 2024-11-24 13:17:31,473] Epoch 2/10, Step 14/15, Loss 0.7500746250152588, Acc 0.6875, PN 0.3125, AP 0.4584415584415584
